"Microchip","Weight","Headwidth","age","Sex","Fhat3","year","TrapID"
"982000123209932",6.4,104,16,"Male",-0.0490183,2011,"FNP104"
"982000123211274",5.2,101,16,"Female",-0.104864,2011,"FNP107"
"982000190524191",7.9,114,20,"Male",-0.0592573,2012,"FNP068"
"982000190533071",6.9,105,32,"Female",-0.0459495,2012,"FNP044"
"982000190607744",5.6,101,19,"Female",-0.0432436,2012,"FNP054"
"982000190695064",9.4,126,42,"Male",-0.0484625,2013,"FNP056"
"982000190695064",11.1,125,32,"Male",-0.0484625,2012,"FNP054"
"982000190697786",8.7,116,32,"Male",-0.0639745,2012,"FNP068"
"982000356426095",6.3,99,32,"Female",-0.35063,2014,"FNP087"
"982000356426095",8.1,103.4,40,"Female",-0.35063,2015,"FNP102"
"982000356426095",7.5,104,42,"Female",-0.35063,2015,"FNP104"
"982000356426095",8.4,108,38,"Female",-0.35063,2015,"FNP108"
"982000356486107",8,106.5,17,"Female",-0.014562,2015,"FNP091"
"982000356492284",8.9,106,26,"Female",-0.334448,2015,"FNP089"
"982000356492284",8.3,108.7,42,"Female",-0.334448,2016,"FNP101"
"982000356492284",8.4,97,20,"Female",-0.334448,2014,"FNP073"
"982000356574417",8.8,93,20,"Male",-0.364725,2014,"FNP073"
"982000356574417",10.1,120,26,"Male",-0.364725,2015,"FNP104"
"982000356574417",10.4,119.7,29,"Male",-0.364725,2015,"FNP102"
"982000356574417",10.5,120.5,30,"Male",-0.364725,2015,"FNP102"
"982000356574417",11,119.4,33,"Male",-0.364725,2016,"FNP092"
"982000356575073",11.4,99,20,"Male",-0.353677,2014,"FNP076"
"982000356575073",11.3,123.7,38,"Male",-0.353677,2016,"FNP113"
"982000356575073",11.5,123.5,29,"Male",-0.353677,2015,"FNP090"
"982000356575073",11.1,124,26,"Male",-0.353677,2015,"FNP102"
"982000356582955",9.3,105,20,"Male",-0.0355148,2014,"FNP055"
"982000356583094",6.7,92,20,"Female",-0.300629,2014,"FNP045"
"982000356583094",8,105.4,30,"Female",-0.300629,2015,"FNP046"
"982000356587277",8.3,108.8,42,"Female",-0.00732172,2015,"FNP033"
"982000356587277",7.9,101,31,"Female",-0.00732172,2014,"FNP021"
"982000356587277",8,109,38,"Female",-0.00732172,2015,"FNP016"
"982000356587302",7.8,103,20,"Female",-0.085483,2014,"FNP045"
"982000356587455",8,109,22,"Female",-0.343132,2016,"FNP035"
"982000356587455",9.3,110.8,29,"Female",-0.343132,2016,"FNP033"
"982000356587455",8.1,103,14,"Female",-0.343132,2015,"FNP033"
"982000356587455",9.4,111.8,30,"Female",-0.343132,2016,"FNP033"
"982000356587519",9,84,20,"Female",-0.029221,2014,"FNP068"
"982000356587526",8.6,108,27,"Female",-0.276141,2015,"FNP054"
"982000356587526",7.1,106.5,30,"Female",-0.276141,2015,"FNP056"
"982000356587526",6.9,97,20,"Female",-0.276141,2014,"FNP058"
"982000356587577",7.1,94,20,"Female",0.0168103,2014,"FNP060"
"982000356587577",6.8,106,26,"Female",0.0168103,2015,"FNP043"
"982000356587577",7.7,109.8,30,"Female",0.0168103,2015,"FNP057"
"982000356587909",8.4,95,20,"Male",-0.375513,2014,"FNP052"
"982000356655539",7.2,97,31,"Female",-0.0572856,2014,"FNP037"
"982000356655539",7.6,110.4,41,"Female",-0.0572856,2015,"FNP084"
"982000356655539",8.2,110.9,50,"Female",-0.0572856,2016,"FNP100"
"982000362816228",8,105,16,"Male",-0.124453,2015,"FNP092"
"982000362816228",6.8,101,14,"Male",-0.124453,2015,"FNP085"
"982000362816228",8.5,112.6,18,"Male",-0.124453,2015,"FNP039"
"982000362816259",5.3,96,15,"Female",-0.00978608,2015,"FNP056"
"982000362816259",5.4,100.6,18,"Female",-0.00978608,2015,"FNP056"
"982000362816378",9,113.6,38,"Male",0.19154,2016,"FNP007"
"982000362816378",9,115.7,58,"Male",0.19154,2018,"FNP023"
"982000362816378",8,110,28,"Male",0.19154,2015,"FNP018"
"982000362816378",9.2,111.7,51,"Male",0.19154,2017,"FNP023"
"982000362816378",8.2,109.8,30,"Male",0.19154,2015,"FNP015"
"982000362816378",7.8,101,26,"Male",0.19154,2015,"FNP021"
"982000362816396",7.8,119.1,29,"Male",-0.0880339,2016,"FNP068"
"982000362816396",8,107,16,"Male",-0.0880339,2015,"FNP072"
"982000362816458",8.8,113.4,17,"Male",-0.0759137,2015,"FNP100"
"982000362816458",8,108,14,"Male",-0.0759137,2015,"FNP098"
"982000362816535",7,103.4,29,"Female",0.0304754,2016,"FNP039"
"982000362816535",6,92,16,"Female",0.0304754,2015,"FNP033"
"982000362816808",7.2,104.4,17,"Male",0.0226445,2015,"FNP090"
"982000362816808",7,107,16,"Male",0.0226445,2015,"FNP094"
"982000362816986",9.5,119.7,43,"Male",-0.0474742,2017,"FNP002"
"982000362816986",6.4,104.8,18,"Male",-0.0474742,2015,"FNP007"
"982000362816986",9,120.7,48,"Male",-0.0474742,2018,"FNP001"
"982000362816986",5.9,98,14,"Male",-0.0474742,2015,"FNP002"
"982000362826111",7,100,16,"Male",-0.0589819,2015,"FNP033"
"982000362826111",6.1,94,14,"Male",-0.0589819,2015,"FNP035"
"982000362826111",9.5,113.1,22,"Male",-0.0589819,2016,"FNP035"
"982000362826111",8.6,107.7,18,"Male",-0.0589819,2015,"FNP033"
"982000362826111",11,115.7,29,"Male",-0.0589819,2016,"FNP036"
"982000362826440",7.8,106,14,"Male",0.000255841,2015,"FNP096"
"982000362826645",8.5,110,26,"Male",0.0522032,2015,"FNP092"
"982000362826727",8.3,109.1,41,"Female",0.151402,2015,"FNP077"
"982000362826727",9,111,40,"Female",0.151402,2015,"FNP031"
"982000362848145",4.8,90,14,"Male",0.00886723,2015,"FNP049"
"982000363010995",6.1,96,14,"Female",-0.00742435,2015,"FNP085"
"982000363016881",6.1,94,14,"Female",0.135808,2015,"FNP015"
"982000363016881",6,100.3,18,"Female",0.135808,2015,"FNP008"
"982000363016905",6,100,16,"Female",0.0469401,2015,"FNP016"
"982000363016905",7.7,104.9,27,"Female",0.0469401,2016,"FNP025"
"982000363016905",7.7,106.4,32,"Female",0.0469401,2016,"FNP006"
"982000363016905",8.1,102.4,18,"Female",0.0469401,2015,"FNP006"
"982000363016905",8,107,43,"Female",0.0469401,2017,"FNP011"
"982000363016905",8.9,109.5,49,"Female",0.0469401,2018,"FNP017"
"982000363016905",6,95,14,"Female",0.0469401,2015,"FNP009"
"982000363016905",9.1,108.9,52,"Female",0.0469401,2018,"FNP018"
"982000363016979",8.4,105.9,26,"Female",0.369223,2016,"FNP079"
"982000363016979",7.3,107.7,28,"Female",0.369223,2016,"FNP081"
"982000363016979",5.8,99,14,"Female",0.369223,2015,"FNP082"
"982000363017030",5.2,98.3,18,"Female",-0.0382522,2015,"FNP049"
"982000363017030",4.6,94,14,"Female",-0.0382522,2015,"FNP098"
"982000363017493",7.8,109,14,"Male",-0.0841352,2015,"FNP033"
"982000363017493",10.7,117.9,27,"Male",-0.0841352,2016,"FNP033"
"982000363017493",8.2,112.2,18,"Male",-0.0841352,2015,"FNP033"
"982000363017554",7.1,110.8,18,"Male",0.062588,2015,"FNP035"
"982000363017554",9.6,118.2,30,"Male",0.062588,2016,"FNP018"
"982000363017554",9.7,119.1,32,"Male",0.062588,2016,"FNP040"
"982000363017554",9.2,115.1,29,"Male",0.062588,2016,"FNP022"
"982000363017554",8.2,110.6,22,"Male",0.062588,2016,"FNP039"
"982000363017554",6.7,100,14,"Male",0.062588,2015,"FNP020"
"982000363017554",9.8,118.4,46,"Male",0.062588,2018,"FNP040"
"982000363017554",7,107,16,"Male",0.062588,2015,"FNP018"
"982000363021953",5.9,96,14,"Male",-0.0390161,2015,"FNP098"
"982000363022085",11.5,122.3,41,"Male",-0.0622674,2015,"FNP078"
"982000363022085",12.8,127.3,54,"Male",-0.0622674,2016,"FNP078"
"982000363022085",9.7,112,37,"Male",-0.0622674,2015,"FNP033"
"982000363022085",11.1,123.4,50,"Male",-0.0622674,2016,"FNP077"
"982000363022085",12,121,40,"Male",-0.0622674,2015,"FNP080"
"982000363022085",11.6,120.8,42,"Male",-0.0622674,2015,"FNP079"
"982000363022085",10.8,121,38,"Male",-0.0622674,2015,"FNP080"
"982000363022118",5.9,101,25,"Female",0.0125399,2015,"FNP072"
"982000363022211",8.9,115,26,"Male",0.0757624,2015,"FNP043"
"982000363022381",8.6,117.9,46,"Male",0.0354993,2018,"FNP025"
"982000363022381",8.9,114.3,22,"Male",0.0354993,2016,"FNP006"
"982000363022381",10.4,107.7,39,"Male",0.0354993,2017,"FNP016"
"982000363022381",6.6,104,14,"Male",0.0354993,2015,"FNP024"
"982000363022381",9.8,114,27,"Male",0.0354993,2016,"FNP007"
"982000363022381",7.6,108.9,18,"Male",0.0354993,2015,"FNP006"
"982000363022471",7.3,108,14,"Male",0.047892,2015,"FNP080"
"982000363022471",10.2,120.4,28,"Male",0.047892,2016,"FNP083"
"982000363022471",8,111.2,17,"Male",0.047892,2015,"FNP083"
"982000363022528",8.4,99,39,"Female",0.0394694,2017,"FNP015"
"982000363022528",6.7,103.2,22,"Female",0.0394694,2016,"FNP023"
"982000363022528",6,100,16,"Female",0.0394694,2015,"FNP016"
"982000363022528",8.1,108.3,52,"Female",0.0394694,2018,"FNP023"
"982000363022528",7.8,107.3,29,"Female",0.0394694,2016,"FNP030"
"982000363022528",7.2,110.4,43,"Female",0.0394694,2017,"FNP008"
"982000363022528",6.2,97,14,"Female",0.0394694,2015,"FNP025"
"982000363022673",7,106,16,"Male",0.105147,2015,"FNP032"
"982000363022673",7.2,107,14,"Male",0.105147,2015,"FNP077"
"982000363022673",8.3,109.1,17,"Male",0.105147,2015,"FNP079"
"982000363022679",10.8,122,37,"Male",0.0599638,2015,"FNP069"
"982009100568338",10.8,118.5,24,"Male",-0.059235,2006,"FNP094"
"982009100568338",9.3,118,21,"Male",-0.059235,2006,"FNP090"
"982009100568338",10.8,122.5,27,"Male",-0.059235,2006,"FNP093"
"982009100815881",5.9,99.9,16,"Male",0.0341125,2006,"FNP108"
"982009100833397",5.4,99.3,15,"Female",-0.0935409,2006,"FNP108"
"982009100870635",6.19,102.9,15,"Male",-0.0449472,2006,"FNP090"
"982009100870635",8.8,114,21,"Male",-0.0449472,2007,"FNP092"
"982009100872147",8.8,111.7,15,"Male",-0.117552,2005,"FNP037"
"982009100884840",6.9,106.5,15,"Female",-0.0976569,2006,"FNP085"
"982009100928588",8.89,120.1,21,"Male",-0.09664,2007,"FNP123"
"982009100928588",9,120,24,"Male",-0.09664,2007,"FNP119"
"982009100958183",6.9,103.5,15,"Female",-0.0254445,2006,"FNP117"
"982009100958183",6,107,24,"Female",-0.0254445,2007,"FNP118"
"982009100982932",6.69,104.3,24,"Female",-0.0312276,2006,"FNP091"
"982009100982932",6.09,104,21,"Female",-0.0312276,2006,"FNP092"
"982009102520507",8,108.3,27,"Female",-0.128285,2005,"FNP021"
"982009102520507",5.59,104.5,32,"Female",-0.128285,2005,"FNP015"
"982009102525143",7.2,101.4,15,"Male",-0.0781295,2005,"97"
"982009102525143",9.1,116.4,24,"Male",-0.0781295,2006,"FNP032"
"982009102525143",7.5,112.9,20,"Male",-0.0781295,2005,"FNP173"
"982009104234846",5,93,14,"Female",-0.0557826,2007,"FNP117"
"982009104273860",7,106,24,"Female",0.0914706,2008,"FNP087"
"982009104273860",8.5,103.5,27,"Female",0.0914706,2008,"FNP086"
"982009104273860",5,97,15,"Female",0.0914706,2007,"FNP087"
"982009104278039",7,105,24,"Female",-0.0024122,2008,"FNP086"
"982009104326007",4,93,15,"Female",-0.0572008,2007,"FNP162"
"982009104330280",6,103,24,"Female",-0.135313,2008,"FNP119"
"982009104330280",5.19,96.59,14,"Female",-0.135313,2007,"FNP117"
"982009104330280",5,97,14,"Female",-0.135313,2007,"FNP117"
"982009104330365",6,102,14,"Male",-0.0120523,2007,"FNP123"
"982009104330365",5.8,102.1,14,"Male",-0.0120523,2007,"FNP123"
"982009104330365",10,117.5,27,"Male",-0.0120523,2008,"FNP118"
"982009104335482",6,100,15,"Male",-0.0978631,2007,"FNP030"
"982009104353469",4,89,14,"Female",0.00311264,2007,"FNP087"
"982009104353469",5,99,24,"Female",0.00311264,2008,"FNP039"
"982009104353469",5,102,25,"Female",0.00311264,2008,"FNP147"
"982009104355375",7,108,24,"Female",0.0370356,2008,"FNP034"
"982009104355375",4,94,15,"Female",0.0370356,2007,"FNP158"
"982009104818981",9,112,30,"Male",-0.0395951,2013,"FNP073"
"982009104822380",7.7,111,16,"Male",-0.0631846,2011,"FNP103"
"982009104822380",10.1,121,29,"Male",-0.0631846,2012,"FNP102"
"982009104858173",7,110,16,"Male",0.0149884,2011,"FNP039"
"982009104862184",5.3,102.6,21,"Female",-0.1129,2007,"FNP084"
"982009104863360",5.8,102,16,"Female",0.0384031,2011,"FNP085"
"982009104874367",7.5,109,16,"Male",-0.0708901,2011,"FNP034"
"982009104875191",7,98,17,"Female",-0.0401442,2010,"FNP121"
"982009104875191",7,98,17,"Female",-0.0401442,2010,"FNP122"
"982009104887392",8,108,27,"Male",-0.0986907,2008,"FNP121"
"982009104887392",7,102,24,"Male",-0.0986907,2008,"FNP117"
"982009104887392",8,108,27,"Male",-0.0986907,2008,"FNP122"
"982009104938840",6,100,18,"Female",-0.0660561,2013,"FNP091"
"982009104963246",7,105,24,"Male",-0.0112863,2007,"FNP094"
"982009104963246",6.3,104,21,"Male",-0.0112863,2007,"FNP090"
"982009104963246",7,106,26,"Male",-0.0112863,2007,"FNP103"
"982009104968600",7,100,17,"Male",-0.00959081,2010,"FNP122"
"982009104968600",7,100,17,"Male",-0.00959081,2010,"FNP121"
"982009105154468",9,113.8,27,"Male",-0.0972591,2008,"FNP101"
"982009105154468",8,117,24,"Male",-0.0972591,2008,"FNP094"
"982009105154468",6,96,14,"Male",-0.0972591,2007,"FNP101"
"982009105155361",8.8,108,14,"Male",-0.0263727,2008,"FNP037"
"982009105160547",6,99,14,"Female",-0.0323494,2007,"FNP125"
"982009105164113",7,107,14,"Male",0.0689298,2007,"FNP101"
"982009105164994",7.59,106,15,"Female",-0.0716885,2008,"FNP093"
"982009105166817",4,88,15,"Female",-0.0674882,2007,"FNP039"
"982009105172734",6.8,106.1,15,"Male",-0.0235342,2008,"FNP093"
"982009105174487",5.59,94.69,15,"Female",-0.115345,2008,"FNP195"
"982009105175414",5,100,26,"Female",-0.106181,2007,"FNP125"
"982009105185038",4.8,92.5,15,"Male",0.28245,2008,"FNP114"
"982009105185813",5,90.59,15,"Female",-0.0800935,2008,"FNP096"
"982009105188074",6.5,107.1,26,"Male",-0.0986279,2008,"FNP039"
"982009105188074",7,109,24,"Male",-0.0986279,2008,"FNP173"
"982009105188074",5,99,14,"Male",-0.0986279,2007,"FNP039"
"982009105195861",5.59,95.8,15,"Female",-0.135894,2008,"FNP109"
"982009105198274",7.3,102.4,15,"Male",-0.127391,2008,"FNP160"
"982009105363992",7,106,24,"Male",0.11792,2008,"FNP006"
"982009105363992",5,99,15,"Male",0.11792,2007,"FNP006"
"982009105384803",7,109,14,"Male",-0.121871,2007,"FNP096"
"982009105830109",5.7,102,16,"Female",-0.0564642,2011,"FNP033"
"982009106188942",7,101,14,"Male",-0.0739019,2009,"FNP119"
"982009106218282",6.3,105,16,"Female",0.0208946,2011,"FNP034"
"982009106392944",6,100,17,"Female",-0.0219748,2010,"FNP120"
"982009106392944",5.8,110,28,"Female",-0.0219748,2011,"FNP116"
"982009106410482",7.8,111,16,"Male",-0.00422206,2011,"FNP116"
"982009106494080",8.4,102,30,"Male",-0.0682818,2013,"FNP070"
"982009106498545",6,102,17,"Female",0.00598115,2010,"FNP122"
"982009106498545",6,102,17,"Female",0.00598115,2010,"FNP121"
"982009106502994",10,125,28,"Male",-0.0734769,2011,"FNP023"
"982009106502994",8,106,17,"Male",-0.0734769,2010,"FNP123"
"982009106518955",9.3,113,28,"Male",-0.0820597,2011,"FNP118"
"982009106523368",8,108,17,"Male",-0.0560136,2010,"FNP096"
"982009106525696",8,105,17,"Male",-0.0341378,2010,"FNP092"
"982009106606059",9,114,17,"Male",-0.00270195,2010,"FNP121"
"982009106606059",9,114,17,"Male",-0.00270195,2010,"FNP122"
"985120015476925",5,100.4,32,"Female",-0.0916277,2005,"FNP001"
"985120015476925",5.3,102.5,27,"Female",-0.0916277,2005,"FNP026"
"985120015476925",6.3,106,39,"Female",-0.0916277,2006,"FNP001"
"985120015476925",2.79,85.19,14,"Female",-0.0916277,2004,"FNP002"
"985120015476925",4.9,88,19,"Female",-0.0916277,2004,"FNP001"
"985120015476925",4.59,103.9,36,"Female",-0.0916277,2006,"FNP002"
"985120015995852",6.3,100.5,19,"Female",-0.0944365,2004,"FNP040"
"985120015997480",8.9,116.1,27,"Female",-0.093487,2005,"FNP021"
"985120015997480",5.7,104.5,19,"Female",-0.093487,2004,"FNP039"
"985120015999193",5.7,106.8,19,"Female",0.0826125,2004,"FNP122"
"985120015999193",5.7,106.8,19,"Female",0.0826125,2004,"FNP121"
"985120015999432",5.3,113.5,32,"Female",-0.0804366,2005,"FNP122"
"985120015999432",5.9,104.7,19,"Female",-0.0804366,2004,"FNP120"
"985120015999432",5.3,113.5,32,"Female",-0.0804366,2005,"FNP121"
"985120015999432",4.69,96.8,15,"Female",-0.0804366,2004,"FNP120"
"985120015999432",7.5,116.1,27,"Female",-0.0804366,2005,"FNP118"
"985120016019072",5.4,101.1,15,"Male",0.0076361,2004,"FNP101"
"985120016020002",6.5,106.5,44,"Female",-0.072465,2004,"FNP106"
"985120016020002",8.39,109,39,"Female",-0.072465,2004,"FNP109"
"985120016020905",7.9,116.1,33,"Male",-0.118158,2007,"FNP026"
"985120016020905",5.4,105.6,20,"Male",-0.118158,2005,"FNP007"
